Date,Mode,Portfolio_Value,Cash,Buying_Power,Long_Pick,Long_Score,Short_Pick,Short_Score
2026-03-09 21:40:17,MAX-PAPER,1000000.0,1000000.0,2000000.0,FAX,0.3251,XTWO,0.1435
2026-03-09 21:53:38,PAPER,9912.57,9912.57,4282.23,FAX,0.3251,XTWO,0.1435
