symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,entry_hist_z,entry_vel_z,entry_accel,entry_velocity,entry_volatility_pct,exit_accel,exit_vel,exit_jerk
MEOH,2026-04-06,16:51:50,17:20:30,61.35,61.52,0.27709861450693024,1.6412387938060338,1.3641401792991035,0.14669926650366147,0.0,0,TRAILING_STOP,12.513914150293928,12.68383233272678,25.43105708089652,25.43645729776257,0.1,-5.286802019907551,-1.3586949502306247,-9.112959192036586
MEOH,2026-04-06,19:00:50,19:24:20,61.64,61.46,-0.2920181700194674,0.09733939000649298,0.3893575600259604,-0.3244646333549689,0.09733939000649298,620,STOP_LOSS,13.308347438842944,13.31134248166055,313.72775627425585,312.3246093143547,0.10950789611600123,-2.742086102539964,-2.5460847436498883,-2.6818055589839327
MSTR,2026-04-06,13:30:00,13:30:20,124.61,124.25,-0.2889013722815179,1.0028087633416267,1.2917101356231446,-1.0914051841746244,1.0028087633416267,1340,STOP_LOSS,0.0,0.0,0.0,668.835900000432,0.1,306.84677959186456,-192.79004897967977,0.0
BCYC,2026-04-06,15:55:40,16:08:50,5.075,5.09,0.2955665024630479,0.2955665024630479,0.0,-4.433497536945823,0.0,0,TRAILING_STOP,9.726264026669963,10.26666525325927,1.4285047198127923,1.4287382004679114,0.11211527519123289,-0.437180108409012,-0.3970497289774382,-0.6211279566363782
BCYC,2026-04-06,16:45:40,16:51:30,5.0686,5.055,-0.26831866787673675,-0.1696720988044112,0.09864656907232555,-4.312827999842172,0.0,0,STOP_LOSS,10.406403579104984,10.353171312172137,2.4407325510353743,2.4981686224119484,0.1,-0.019201314102990308,0.07300328525747518,-0.05191947435878619
TSLA,2026-04-06,13:30:00,13:30:30,361.625,364.405,0.7687521603871339,1.3563774628413336,0.5876253024541997,0.6733494642239896,0.0,0,TARGET,0.0,0.0,0.0,1510.887599984046,0.1,330.71898192323465,-24.79685480818557,409.96704723064295
PLTR,2026-04-06,13:30:00,13:31:50,148.96,149.71,0.5034908700322234,1.0674006444683157,0.5639097744360924,0.08727175080558233,0.0,0,TARGET,0.0,0.0,0.0,22058.611199998857,0.1,150.03748650989854,-206.84351627479697,64.80472539600913
MEOH,2026-04-02,13:30:00,13:30:10,62.14,61.94,-0.32185387833923856,-0.32185387833923856,0.0,-5.873833279691018,0.0,0,STOP_LOSS,0.0,0.0,0.0,1176.360000000004,0.1,0.0,-328.7314285714299,0.0
MEOH,2026-04-02,19:00:30,19:26:40,59.58,59.395,-0.31050688150385225,0.5958375293722793,0.9063444108761316,-0.503524672708958,0.5958375293722793,1290,STOP_LOSS,13.300677935574827,13.302602075557344,188.45972809187757,192.1679797703312,0.12402959860327448,-1.1232721300493964,-0.8951196748762731,-1.2538511479801673
MSTR,2026-04-02,13:30:00,13:30:10,119.265,118.65,-0.5156584077474489,-0.1785938875613079,0.33706452018614097,-2.3602901102586658,0.0,0,STOP_LOSS,0.0,0.0,0.0,29170.53269999932,0.1,0.0,-8443.67571428552,0.0
BCYC,2026-04-02,14:26:40,14:36:20,4.86,4.93,1.4403292181069833,4.526748971193411,3.0864197530864272,1.4403292181069833,0.0,0,TARGET,11.949730050959866,12.495032359916811,23.709447771720843,23.734380570696125,0.27776827100339196,-1.1515444292282644,-0.3235389269292699,-2.1163422283086386
BCYC,2026-04-02,15:35:40,15:45:10,4.955,4.985,0.6054490413723561,2.5227043390514634,1.9172552976791073,-0.3027245206861691,0.0,0,TARGET,10.420409217118076,10.613588986965903,8.469469388179702,8.612326529550895,0.1,0.7121273001671566,0.7096817495821668,0.7111490799331607
