symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,ml_entry_prob,ml_crash_prob
MEOH,2026-04-08,13:31:30,13:31:50,52.62,50.4,-4.218928164196121,17.597871531736992,21.816799695933113,-4.218928164196121,17.597871531736992,18790,STOP_LOSS,0.9719263403182191,0.14549311855240762
MEOH,2026-04-08,13:32:30,13:36:30,53.18,56.46,6.167732230161717,16.359533659270408,10.19180142910869,4.94546822113577,16.359533659270408,18510,ML_CRASH_DETECTED,0.9497601421921578,0.28799169909471284
MEOH,2026-04-08,13:36:40,13:42:20,56.535,56.32,-0.3802953922348922,9.454320332537378,9.83461572477227,-0.7349429556911549,9.454320332537378,18160,ML_CRASH_DETECTED,0.9614780588592681,0.951590724977114
MEOH,2026-04-08,13:42:30,13:42:40,56.47,56.5,0.053125553391183175,9.580308128209676,9.527182574818493,-0.6206835487869606,9.580308128209676,18140,ML_CRASH_DETECTED,0.9669308375843074,0.7855063454651477
MEOH,2026-04-08,13:42:50,13:43:00,56.74,56.64,-0.17624250969334052,9.058864998237576,9.235107507930916,-1.0935847726471621,9.058864998237576,18120,ML_CRASH_DETECTED,0.9756634339018239,0.7530565174337289
MEOH,2026-04-08,13:43:10,13:43:20,56.65,56.64,-0.017652250661955887,9.232127096204772,9.249779346866728,-0.9364518976169399,9.232127096204772,18100,ML_CRASH_DETECTED,0.9776864834616791,0.7070026134415479
MEOH,2026-04-08,13:45:10,13:45:30,56.555,56.5272,-0.04915568915215129,9.415613119971713,9.464768809123864,-0.20245778445760693,9.415613119971713,17970,ML_CRASH_DETECTED,0.8642171687503871,0.4861432129268105
MEOH,2026-04-08,13:45:40,13:46:00,56.95,56.81,-0.24582967515364454,8.656716417910447,8.90254609306409,-0.8946444249341575,8.656716417910447,17940,ML_CRASH_DETECTED,0.5780080428711806,0.3275396586030263
MEOH,2026-04-08,14:01:00,14:01:10,57.9,57.9599,0.10345423143350424,6.873920552677036,6.770466321243531,-0.6390328151986139,6.873920552677036,17030,ML_CRASH_DETECTED,0.5877635708577483,0.48679801535986844
MEOH,2026-04-08,14:02:00,14:04:50,57.8872,57.6984,-0.32615154991086204,6.897552481377581,7.223704031288443,-0.6170621484542332,6.897552481377581,16810,ML_CRASH_DETECTED,0.6031719099777632,0.45720001455855186
MEOH,2026-04-08,14:05:30,14:05:50,57.99,58.02,0.0517330574236957,6.708053112605622,6.656320055181927,-0.793240213829972,6.708053112605622,16750,ML_CRASH_DETECTED,0.6341087390989723,0.37666096201539506
MEOH,2026-04-08,14:10:40,14:10:50,57.66,57.8024,0.24696496704821727,7.31876517516477,7.071800208116552,0.07197363857094399,7.31876517516477,16450,ML_CRASH_DETECTED,0.4783100190307225,0.23762704700094678
MEOH,2026-04-08,14:12:50,14:13:00,57.955,57.955,0.0,6.772495901992934,6.772495901992934,-0.3364679492709866,6.772495901992934,16320,ML_CRASH_DETECTED,0.42767074986119913,0.22286197151956003
MEOH,2026-04-08,14:21:20,14:21:30,58.805,58.781,-0.04081285604965719,5.2291471813621335,5.26996003741179,-1.3859365700195523,5.2291471813621335,15810,ML_CRASH_DETECTED,0.4592042702369098,0.32460520217011507
MEOH,2026-04-08,14:23:10,14:23:40,58.63,58.5875,-0.07248848712264025,5.5432372505543235,5.615725737676963,-1.0915913354937754,5.5432372505543235,15680,ML_CRASH_DETECTED,0.8436590422034012,0.30845828446793483
MEOH,2026-04-08,14:25:50,14:26:00,58.195,58.26,0.11169344445398699,6.332159120199334,6.220465675745347,-0.3522639402010453,6.332159120199334,15540,ML_CRASH_DETECTED,0.6061629490426814,0.7828342317800683
MEOH,2026-04-08,14:27:10,14:27:20,57.995,58.0,0.008621432882149425,6.698853349426684,6.690231916544534,-0.00862143288213717,6.698853349426684,15460,ML_CRASH_DETECTED,0.514721746098997,0.30426682402943167
MEOH,2026-04-08,14:27:40,14:27:50,58.09,58.015,-0.12911000172147158,6.524358753658115,6.653468755379587,-0.13771733516957377,6.524358753658115,15430,ML_CRASH_DETECTED,0.6707216633780013,0.3085370073653897
MEOH,2026-04-08,14:28:00,14:30:10,58.08,58.225,0.2496556473829255,6.542699724517914,6.293044077134988,-0.12052341597796193,6.542699724517914,15290,ML_CRASH_DETECTED,0.4438850004515352,0.31651060630721556
MEOH,2026-04-08,14:36:50,14:37:00,58.535,58.535,0.0,5.714529768514574,5.714529768514574,-0.6406423507303323,5.714529768514574,14880,ML_CRASH_DETECTED,0.46356843596092434,0.31472682353763426
MEOH,2026-04-08,14:42:50,14:43:00,58.69,58.46,-0.3918895893678598,5.43533821775431,5.827227807122171,-0.9030499233259518,5.43533821775431,14520,ML_CRASH_DETECTED,0.8163885801401519,0.3009534102752194
MEOH,2026-04-08,14:43:20,14:43:30,58.465,58.431,-0.05815445138117852,5.8411015137261595,5.899255965107338,-0.521679637389903,5.8411015137261595,14490,ML_CRASH_DETECTED,0.8565848279951498,0.2795373193328016
