symbol,date,time,price,Impact_Hist_Z,Velocity_Z,Acceleration_Z,Jerk_Z,Snap_Z,Curving_Up,Plateauing,Curving_Down,Volatility_Pct,max_profit_pct_30m,max_loss_pct_30m
MEOH,2026-04-08,13:33:20,54.53,-1.8972383475298185,-1.6914116314451915,-1.0142669975452123,-0.7601475355677649,-0.589479270281386,0.0,0.0,1.0,2.6716709808436536,6.308454061984224,-1.5404364569961553
MEOH,2026-04-08,13:33:30,54.3782,-1.341461202903099,-0.22826023596003092,1.001031488835833,1.1660375537447027,1.0970836694997954,0.0,0.0,0.0,2.703844521776675,6.605220474381277,-1.2655806922627117
MEOH,2026-04-08,13:34:30,53.69,-1.019400471865234,-1.0105414924779872,-0.6695947872455426,-0.7637473544018809,-0.6999662092125268,0.0,0.0,1.0,2.648695161531929,7.971689327621534,0.0
MEOH,2026-04-08,13:34:40,54.0883,-0.0517972798059848,0.5591949966156067,1.0539856851914287,0.9950393171393113,0.9908593435592916,1.0,0.0,0.0,2.608974876315686,7.176598266168472,0.0
MEOH,2026-04-08,13:34:50,54.32,-3.209324169810553,-3.606274396848568,-2.9569560851464316,-2.388248952667433,-1.9129346166770411,0.0,0.0,1.0,2.5890929517787966,6.719440353460969,0.0
MEOH,2026-04-08,13:35:00,54.33,-0.9647640418835373,0.9673472922365745,2.884231287360765,3.16892823462353,3.0286953177975997,1.0,0.0,0.0,2.5786872168634756,6.699797533591019,0.0
MEOH,2026-04-08,13:35:10,54.505,0.5422987422565585,1.0097753162641685,0.040842069845269835,-1.618787747768354,-2.542876443290651,1.0,0.0,0.0,2.5684419482540934,6.35721493440968,0.0
MEOH,2026-04-08,13:35:20,54.6,-0.047544428664540596,-0.6597511295327914,-1.0473066324019102,-0.6160696244404291,0.561150125345976,0.0,0.0,1.0,2.565063643423724,6.172161172161168,0.0
MEOH,2026-04-08,13:36:50,56.03,5.016816356988867,5.06957067130129,4.08296452554213,2.704275399255338,1.5161810111094742,1.0,0.0,0.0,2.8939987934621945,3.8372300553275007,-0.39264679635909133
MEOH,2026-04-08,13:37:00,56.001,1.4645669197452509,-1.6630177261774577,-4.13973332171202,-4.472282130111105,-4.0523941157548755,0.0,0.0,1.0,2.9274963107564007,3.8910019463938186,-0.34106533811895395
MEOH,2026-04-08,13:37:10,56.089,-0.3473451649797761,-1.1742623143700566,0.31093730383614365,2.542899612551509,3.7228995059188468,0.0,0.0,0.0,2.9550430425779224,3.728003708392022,-0.497423737274682
MEOH,2026-04-08,14:19:10,58.83,7.238311711729641,7.967817781641948,6.000116338686777,3.749635941306788,2.126088363320785,1.0,0.0,0.0,0.5119547897322391,0.41645419003910344,-1.4278429372768933
MEOH,2026-04-08,14:19:20,58.77,2.1670198740685773,-2.3783289794628573,-6.71418777650088,-7.213247843911649,-6.180028275743923,0.0,0.0,1.0,0.5269904295423671,0.518972264760932,-1.3272077590607472
MEOH,2026-04-08,14:19:30,58.66,-0.5139508368110707,-1.7414831368002517,0.4090614458034466,4.11101739384369,6.110502436254178,0.0,0.0,0.0,0.5331684933726879,0.7074667575861,-1.1421752471871711
MEOH,2026-04-08,14:19:40,58.73,-1.6864172548492096,-1.1838786394488579,0.366163428234038,-0.02469442076460596,-2.270351949206565,0.0,0.0,0.0,0.5407155610013364,0.5874340200919563,-1.2600034054146008
MEOH,2026-04-08,14:23:50,58.53,1.1332356214736647,1.1974292648203715,0.9278603135002587,0.687361893178781,0.4983211635244822,1.0,0.0,0.0,0.5168228986840603,0.9311464206389914,-0.9226037929267027
MEOH,2026-04-08,14:25:10,58.26,-1.0732419544634515,-1.1313673796665682,-0.7592563744878841,-0.517682075324182,-0.33738386922859653,0.0,0.0,1.0,0.40859211894149333,1.3989014761414433,-0.46343975283212496
MEOH,2026-04-08,14:25:20,58.36,-12.17547875944414,-12.455122855171227,-11.4279943058546,-9.00896836284482,-5.757465398634995,0.0,0.0,1.0,0.4065851559381135,1.2251542152159072,-0.6339958875942383
MEOH,2026-04-08,14:25:30,58.3,-3.6840298160380556,3.5981368893787162,10.072027517488468,11.389246666668118,11.199330116150886,1.0,0.0,0.0,0.40874454664822246,1.3293310463121881,-0.5317324185248631
MEOH,2026-04-08,14:25:40,58.25,0.40091187177221366,2.338749903898721,-0.7887616615383488,-6.228056133021795,-9.249991186294217,0.0,1.0,0.0,0.4121048292662409,1.4163090128755413,-0.4463519313304687
MEOH,2026-04-08,14:25:50,58.195,2.4764658526952683,1.8103156241856224,-0.33833326095242583,0.2587442649202515,3.5485347053021195,0.0,1.0,0.0,0.41823399521282734,1.5121574018386503,-0.3522639402010453
MEOH,2026-04-08,14:26:00,58.26,3.0780865540048863,1.2139303830401083,-0.3903467695336198,-0.029624744751408815,-0.15783606718328938,0.0,1.0,0.0,0.42175213673757844,1.3989014761414433,-0.46343975283212496
MEOH,2026-04-08,14:35:30,58.396,-4.792087214904749,-5.13202008566691,-3.3168416169379773,-1.7832569749939435,-0.8742925127221007,0.0,0.0,1.0,0.20138172956358602,1.162750873347493,-0.40413726967601243
MEOH,2026-04-08,14:35:40,58.42,-1.4319046757733775,1.6393471421929489,4.472845591195768,4.472883616661106,3.4752414820117816,1.0,0.0,0.0,0.20710950653228047,1.1211913728175302,-0.44505306401918027
MEOH,2026-04-08,14:35:50,58.3699,0.43197013263698153,1.2867941817701607,-0.23034192818839463,-2.711206645701999,-3.9107621101996335,0.0,1.0,0.0,0.2108297808508364,1.207985622726785,-0.3596031516243897
MEOH,2026-04-08,14:36:10,58.45,2.1127181219909708,1.3988509220319612,0.41882863249724167,0.43618646437358866,0.2731913419906639,1.0,0.0,0.0,0.21871351272957545,1.0692899914456802,-0.49615055603080616
MEOH,2026-04-08,15:00:30,58.84,1.3925346434086159,1.6260099697264825,1.1554723052280194,0.643413669264619,0.2418819424481561,1.0,0.0,0.0,0.2538505789948359,1.0081577158395578,-0.24643099932019566
MEOH,2026-04-08,15:02:20,58.96,-1.5372921965803945,-1.4331708971107067,-0.8200188759961858,-0.5069040987181153,-0.3520252517107507,0.0,0.0,1.0,0.4504725644960017,1.0685210312076028,-0.4494572591587527
MEOH,2026-04-08,15:02:30,59.046,0.04384082314862873,1.149912939789867,1.7688101249314554,1.5075722814333061,1.1126725014591865,1.0,0.0,0.0,0.4641034130885869,0.9213155844595807,-0.5944517833553485
MEOH,2026-04-08,15:04:10,58.755,4.586524915289421,5.0739438610394565,3.5757990806751745,2.1730735129688314,1.2414730980622783,1.0,0.0,0.0,0.5081685220976448,1.5232746149263823,-0.10211896859842103
MEOH,2026-04-08,15:04:20,58.785,3.2664797479020944,0.6634923818882361,-3.0622251792855972,-3.830802722432328,-3.3226795557854296,0.0,1.0,0.0,0.5028618232652952,1.471463808794764,-0.15310028068384166
MEOH,2026-04-08,15:04:40,58.845,-0.39897915617870616,-1.4556983705091942,-0.916783986734468,-0.20950981245345054,-0.9171539875589348,0.0,0.0,1.0,0.49430429621217736,1.3680006797518902,-0.25490695895997717
MEOH,2026-04-08,15:04:50,58.881,-1.3995437489588014,-1.0515919745114133,0.2793975776053715,0.6974730501870609,0.4995200128979436,0.0,0.0,0.0,0.4893787169487416,1.3060240145377937,-0.31589137412747736
MEOH,2026-04-08,15:05:00,58.84,-2.076027218480241,-1.1705188538444367,-0.08629172308752625,-0.21323681434517566,-0.5014107490912296,0.0,0.0,1.0,0.48330866652143484,1.3766145479265723,-0.24643099932019566
MEOH,2026-04-08,15:18:30,59.091,-10.591507334371242,-11.875357834335043,-11.16456418066545,-8.849591694420802,-5.6579516884185,0.0,0.0,1.0,0.2846946062350553,1.0729214262747293,-0.49246078082957456
