symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,39165613.15,391656.13,248.96,97506713.13,ok
ACR,20,19426.3,194.26,18.82,3656.03,ok
AKZOY,20,124349.7,1243.5,18.33,22793.3,ok
AMZN,20,46431539.5,464315.4,208.76,96930479.31,ok
AVGO,20,28823940.15,288239.4,319.84,92190489.12,ok
AVUS,20,317977.5,3179.78,111.63,354958.27,ok
BAUG,20,6543.8,65.44,49.19,3218.9,ok
BIP,20,1044039.2,10440.39,36.41,380134.67,ok
BLOK,20,361390.5,3613.91,52.53,189838.43,ok
BWA,20,2993540.45,29935.4,52.43,1569513.27,ok
CDC,20,12117.85,121.18,70.4244,8533.92,ok
CIM,20,713285.7,7132.86,13.16,93868.4,ok
CMC,20,1203265.7,12032.66,61.15,735796.99,ok
CNC,20,6029401.95,60294.02,35.57,2144658.26,ok
CORN,20,722108.05,7221.08,18.83,135972.95,ok
COST,20,1842570.65,18425.71,974.78,17961010.72,ok
CRHKY,20,99684.8,996.85,6.35,6329.98,ok
CVEO,20,69741.0,697.41,27.86,19429.84,ok
DLR,20,1924200.2,19242.0,179.85,3460674.18,ok
DUKB,20,33337.75,333.38,24.12,8041.07,ok
EQBK,20,120670.0,1206.7,43.85,52913.79,ok
EWO,20,61625.6,616.26,34.79,21439.55,ok
EXR,20,1244709.25,12447.09,135.99,1692680.18,ok
FCF,20,937933.8,9379.34,16.82,157760.46,ok
FIX,20,463944.0,4639.44,1444.6,6702134.91,ok
FLCH,20,177652.95,1776.53,22.77,40451.58,ok
FRNW,20,47598.35,475.98,23.06,10976.18,ok
FUTU,20,1767609.55,17676.1,139.47,2465285.06,ok
FYLD,20,78941.75,789.42,36.89,29121.61,ok
GII,20,59110.85,591.11,76.05,44953.8,ok
GIII,20,689357.6,6893.58,27.05,186471.23,ok
GOOGL,20,29907760.2,299077.6,307.13,91855705.36,ok
GOOY,20,389719.95,3897.2,13.54,52768.08,ok
HEI,20,862195.85,8621.96,277.16,2389662.05,ok
HIGH,20,43961.7,439.62,21.465,9436.38,ok
IFS,20,244182.4,2441.82,47.48,115937.8,ok
IGOV,20,296080.75,2960.81,41.49,122843.91,ok
IQDF,20,116583.95,1165.84,31.64,36887.16,ok
JPM,20,10586590.95,105865.91,287.97,30486206.09,ok
KEN,20,20984.3,209.84,86.98,18252.14,ok
MATX,20,336322.2,3363.22,158.16,531927.2,ok
META,20,12124412.25,121244.12,606.7,73558810.6,ok
MHD,20,374106.8,3741.07,11.61,43433.8,ok
MLM,20,619713.45,6197.13,567.47,3516687.73,ok
MPNGY,20,438235.0,4382.35,20.25,88742.59,ok
MSFT,20,33308317.35,333083.17,389.02,129576012.5,ok
MSI,20,1072455.2,10724.55,459.16,4924285.34,ok
NBIX,20,965373.8,9653.74,129.7,1252089.79,ok
NVDA,20,197212916.85,1972129.17,178.56,352143379.51,ok
NVRI,20,1520493.25,15204.93,18.23,277185.91,ok
OCTW,20,33994.25,339.94,38.634,13133.34,ok
OEFA,20,3664.15,36.64,31.67,1160.44,ok
OSCV,20,42797.8,427.98,38.89,16644.06,ok
OSW,20,929359.2,9293.59,21.92,203715.54,ok
PGHY,20,65904.75,659.05,19.62,12930.51,ok
PLAY,20,1122815.7,11228.16,13.76,154499.44,ok
PLTR,20,49949556.05,499495.56,155.68,77761465.2,ok
PPC,20,907248.75,9072.49,35.67,323615.61,ok
PSEP,20,51498.9,514.99,43.25,22273.27,ok
PZA,20,1874658.6,18746.59,23.28,436420.53,ok
SIEGY,20,349680.0,3496.8,122.86,429616.85,ok
SKLZ,20,37404.35,374.04,3.22,1204.42,ok
SPGM,20,360633.9,3606.34,76.105,274460.44,ok
SPOT,20,2344310.7,23443.11,482.52,11311767.73,ok
SPUU,20,32434.0,324.34,170.25,55218.89,ok
STT,20,2174191.95,21741.92,120.95,2629685.1,ok
TBRG,20,123380.45,1233.8,15.38,18975.91,ok
TFII,20,397734.1,3977.34,98.75,392762.42,ok
TFX,20,933063.35,9330.63,107.05,998844.34,ok
TSLA,20,59207131.6,592071.32,380.3,225164714.25,ok
TSLX,20,1587887.35,15878.87,18.17,288519.13,ok
UE,20,936790.3,9367.9,20.77,194571.35,ok
URTY,20,1646597.0,16465.97,52.03,856724.4,ok
UWMC,20,21214534.65,212145.35,3.69,782816.34,ok
VFMO,20,36592.95,365.93,197.75,72362.56,ok
VFMV,20,21638.5,216.38,134.0,28995.59,ok
VMD,20,366575.65,3665.76,9.22,33798.28,ok
ZLNDY,20,79683.35,796.83,13.28,10581.95,ok
