symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,39165613.15,391656.13,248.96,97506713.13,ok
ACVA,20,4259452.0,42594.52,4.73,201472.08,ok
AFG,20,754400.65,7544.01,124.47,939002.5,ok
ALTI,20,147265.5,1472.65,3.315,4881.85,ok
ALV,20,758550.4,7585.5,101.74,771749.16,ok
AMKBY,20,127571.4,1275.71,14.18,18089.62,ok
AMZN,20,46431539.5,464315.4,208.76,96930479.31,ok
ASRT,20,51260.35,512.6,13.72,7032.92,ok
AVGO,20,28823940.15,288239.4,319.84,92190489.12,ok
BNTX,20,1711145.25,17111.45,89.31,1528223.78,ok
BSET,20,32951.45,329.51,14.21,4682.4,ok
BTSGU,20,29729.4,297.29,146.71,43616.0,ok
BWA,20,2993540.45,29935.4,52.43,1569513.27,ok
CCL,20,27150481.65,271504.82,24.94,6771330.27,ok
CFR,20,621611.55,6216.12,130.98,814186.78,ok
CGEM,20,810659.7,8106.6,13.08,106034.29,ok
CLW,20,256328.3,2563.28,12.93,33143.25,ok
CMC,20,1203265.7,12032.66,61.15,735796.99,ok
CMDT,20,279620.9,2796.21,31.94,89310.92,ok
CNI,20,1892254.85,18922.55,99.1,1875224.53,ok
COST,20,1842570.65,18425.71,974.78,17961010.72,ok
CSM,20,7924.85,79.25,75.91,6015.75,ok
DAUG,20,12216.3,122.16,43.8,5350.74,ok
DFEV,20,278810.1,2788.1,36.39,101458.99,ok
DFUS,20,1412065.85,14120.66,71.8,1013863.32,ok
DINT,20,19872.05,198.72,26.71,5307.82,ok
DMRC,20,286889.8,2868.9,5.57,15979.76,ok
DSI,20,200599.4,2005.99,123.14,247018.1,ok
DURA,20,1821.1,18.21,36.8423,670.94,ok
EMTY,20,2467.85,24.68,11.9871,295.82,ok
ETSY,20,3267695.5,32676.96,54.76,1789390.0,ok
EUHY,20,28824.2,288.24,52.57,15152.88,ok
EVLN,20,59392.05,593.92,48.38,28733.87,ok
FE,20,4243245.3,42432.45,49.69,2108468.53,ok
FIS,20,5588594.75,55885.95,49.26,2752941.68,ok
GLTR,20,111207.1,1112.07,214.64,238694.92,ok
GOLD,20,603313.9,6033.14,43.97,265277.13,ok
GOLF,20,416657.7,4166.58,91.3,380408.49,ok
GOOGL,20,29907760.2,299077.6,307.13,91855705.36,ok
GSL,20,476390.85,4763.91,38.72,184458.54,ok
HUBB,20,503301.1,5033.01,492.65,2479512.84,ok
HYUP,20,29634.75,296.35,41.52,12304.35,ok
INFL,20,266663.3,2666.63,51.47,137251.6,ok
JPM,20,10586590.95,105865.91,287.97,30486206.09,ok
KO,20,16876564.8,168765.65,75.55,12750245.22,ok
KRUS,20,216638.15,2166.38,59.02,127859.84,ok
META,20,12124412.25,121244.12,606.7,73558810.6,ok
MOS,20,11275695.8,112756.96,26.2,2954232.39,ok
MSFT,20,33308317.35,333083.17,389.02,129576012.5,ok
NML,20,182403.6,1824.04,10.27,18732.85,ok
NTTYY,20,203166.3,2031.66,24.89,50568.09,ok
NVDA,20,197212916.85,1972129.17,178.56,352143379.51,ok
OMAB,20,99585.4,995.85,111.28,110818.63,ok
OWNS,20,58274.5,582.75,17.505,10200.95,ok
PDT,20,105151.2,1051.51,13.2,13879.96,ok
PLTR,20,49949556.05,499495.56,155.68,77761465.2,ok
RFDI,20,3327.0,33.27,82.2409,2736.15,ok
RKT,20,28815524.65,288155.25,14.65,4221474.25,ok
RLJ,20,1952172.45,19521.72,7.64,149145.97,ok
RODM,20,103945.35,1039.45,39.08,40621.84,ok
RYN,20,3578764.0,35787.64,19.9,712174.02,ok
SHV,20,3109351.2,31093.51,110.25,3428059.7,ok
SIEGY,20,349680.0,3496.8,122.86,429616.85,ok
SNY,20,4419726.3,44197.26,45.34,2003903.91,ok
SSPY,20,1314.5,13.14,88.6481,1165.28,ok
TECS,20,4695703.15,46957.03,18.84,884670.48,ok
TOELY,20,116224.7,1162.25,124.31,144478.92,ok
TRMB,20,1778322.85,17783.23,66.68,1185785.68,ok
TSBK,20,24241.65,242.42,38.46,9323.34,ok
TSLA,20,59207131.6,592071.32,380.3,225164714.25,ok
VEEV,20,2173460.0,21734.6,185.59,4033724.33,ok
VGSR,20,69486.3,694.86,10.67,7414.19,ok
WBD,20,27865004.55,278650.05,27.63,7699100.52,ok
WEST,20,398218.5,3982.18,4.33,17242.86,ok
WUGI,20,755.85,7.56,67.8457,512.81,ok
WWD,20,585657.1,5856.57,367.99,2155159.51,ok
XC,20,21961.05,219.61,30.84,6772.79,ok
ZION,20,1711356.2,17113.56,54.28,928924.12,ok
