symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41475925.75,414759.26,247.99,102856150.55,ok
ADAM,20,776047.15,7760.47,7.35,57039.46,ok
AFG,20,762404.8,7624.05,124.18,946754.28,ok
AGO,20,315360.15,3153.6,80.81,254842.53,ok
AMZN,20,45931896.8,459318.97,205.37,94330334.22,ok
APOG,20,213920.05,2139.2,31.73,67876.83,ok
ARLO,20,1872329.35,18723.29,14.35,268679.27,ok
ASTE,20,306447.3,3064.47,49.84,152733.33,ok
AVGO,20,29796175.65,297961.76,310.51,92520107.92,ok
BEKE,20,4616737.6,46167.38,15.88,733137.94,ok
BNO,20,7693471.9,76934.72,52.92,4071385.19,ok
BSCT,20,739177.25,7391.77,18.63,137708.72,ok
BSCW,20,309480.8,3094.81,20.53,63536.41,ok
CBL,20,139573.5,1395.74,37.15,51851.56,ok
CGBL,20,1121044.9,11210.45,34.23,383733.66,ok
COIN,20,13063688.2,130636.88,197.5,25800784.2,ok
COST,20,1893759.05,18937.59,972.33,18413587.69,ok
CRAI,20,185174.25,1851.74,158.42,293353.04,ok
CRH,20,6134411.6,61344.12,100.47,6163243.41,ok
CVLC,20,24037.5,240.38,79.8463,19193.05,ok
CWAN,20,5136211.95,51362.12,23.44,1203928.11,ok
CZWI,20,57816.15,578.16,19.07,11025.54,ok
DRUP,20,1107.9,11.08,56.4695,625.63,ok
DUOT,20,786937.25,7869.37,7.31,57525.11,ok
DXLG,20,194873.0,1948.73,0.5121,997.94,ok
EMLP,20,324038.75,3240.39,43.16,139855.12,ok
EMQQ,20,80035.65,800.36,32.38,25915.54,ok
EXTR,20,1461503.9,14615.04,14.71,214987.22,ok
FDX,20,2075254.8,20752.55,358.85,7447051.98,ok
FE,20,4224216.65,42242.17,48.54,2050434.8,ok
FFA,20,28883.75,288.84,20.03,5785.42,ok
FLTR,20,670456.7,6704.57,25.46,170698.27,ok
FSS,20,561587.1,5615.87,105.57,592867.5,ok
FTAI,20,2223547.4,22235.47,230.03,5114826.06,ok
GNK,20,677929.5,6779.3,21.6,146432.77,ok
GOOGL,20,29466011.85,294660.12,301.0,88692695.67,ok
GPC,20,1976111.25,19761.11,96.38,1904575.97,ok
GSBD,20,1659558.4,16595.58,9.04,150024.08,ok
HII,20,520519.8,5205.2,407.98,2123616.74,ok
IBDT,20,722792.0,7227.92,25.22,182288.14,ok
IBUY,20,23892.4,238.92,61.03,14581.53,ok
IVOL,20,194270.7,1942.71,18.68,36289.77,ok
JPM,20,11313388.0,113133.88,286.56,32419644.38,ok
JTEK,20,276649.8,2766.5,80.85,223671.36,ok
KURE,20,31640.7,316.41,16.41,5192.24,ok
L,20,668051.6,6680.52,105.6,705462.48,ok
LAND,20,701594.95,7015.95,10.53,73877.95,ok
LRN,20,807621.85,8076.22,85.06,686963.13,ok
MBWM,20,121427.0,1214.27,48.64,59062.09,ok
META,20,12449172.5,124491.73,593.66,73905754.12,ok
MGTX,20,381661.85,3816.62,7.2,27479.65,ok
MIND,20,167742.7,1677.43,8.26,13855.55,ok
MPX,20,39131.2,391.31,7.13,2790.05,ok
MRAAY,20,389657.3,3896.57,11.22,43719.55,ok
MSFT,20,33976493.7,339764.94,381.87,129746034.83,ok
MSTR,20,20840522.15,208405.22,135.66,28272253.11,ok
NOCT,20,33220.2,332.2,56.57,18792.67,ok
NSC,20,1388183.8,13881.84,281.09,3902045.79,ok
NVDA,20,198907674.2,1989076.74,172.7,343513547.27,ok
NXTG,20,6782.9,67.83,110.9853,7528.02,ok
PDO,20,944409.2,9444.09,12.53,118334.47,ok
PEY,20,451193.75,4511.94,20.6,92945.91,ok
PLTR,20,49650202.7,496502.03,150.68,74812921.79,ok
PPC,20,920073.45,9200.73,35.23,324141.87,ok
QQQH,20,24295.25,242.95,51.7838,12581.0,ok
QUAD,20,276084.1,2760.84,6.56,18111.12,ok
ROP,20,1514845.4,15148.45,353.68,5357705.1,ok
RSPT,20,302560.8,3025.61,45.75,138421.57,ok
SHAG,20,4457.75,44.58,47.575,2120.77,ok
TAFI,20,316979.55,3169.8,25.2,79878.85,ok
TCEHY,20,3792231.75,37922.32,63.5,2408067.16,ok
TGOPY,20,1178193.45,11781.93,8.95,105448.31,ok
TSLA,20,60071956.45,600719.56,367.96,221040765.82,ok
TYL,20,614910.7,6149.11,350.2,2153417.35,ok
VALE,20,32964823.3,329648.23,14.05,4631557.74,ok
WNC,20,528513.25,5285.13,7.92,41858.25,ok
XERS,20,2188799.2,21887.99,5.44,119070.68,ok
XME,20,2595751.15,25957.51,101.73,2640657.73,ok
YEXT,20,4745971.4,47459.71,4.74,224959.03,ok
