symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41475925.75,414759.26,247.99,102856150.55,ok
ACWX,20,3793297.7,37932.98,66.37,2517611.79,ok
ADDYY,20,106569.35,1065.69,76.53,81557.52,ok
ALLO,20,5456745.55,54567.46,2.07,112954.63,ok
AMZN,20,45931896.8,459318.97,205.37,94330334.22,ok
AVGO,20,29808148.15,298081.48,310.51,92557283.73,ok
BNDW,20,116305.0,1163.05,67.95,79029.24,ok
BST,20,68331.35,683.31,37.21,25426.09,ok
BTX,20,695012.4,6950.12,6.38,44341.79,ok
CAH,20,1833933.7,18339.34,207.83,3811464.44,ok
CEFS,20,113346.5,1133.46,22.29,25264.94,ok
COIN,20,13063671.6,130636.72,197.5,25800751.41,ok
COPX,20,5322491.95,53224.92,69.08,3676777.54,ok
COST,20,1893759.05,18937.59,972.33,18413587.69,ok
CWBC,20,134348.6,1343.49,22.35,30026.91,ok
CXW,20,1307676.6,13076.77,19.46,254473.85,ok
DFEM,20,950091.65,9500.92,33.99,322936.17,ok
EDC,20,284421.5,2844.22,53.87,153217.86,ok
ENB,20,4366978.7,43669.79,53.46,2334586.77,ok
ENS,20,407494.9,4074.95,165.34,673752.05,ok
F,20,63987365.05,639873.65,11.52,7371344.75,ok
FAUG,20,20498.45,204.98,51.619,10581.09,ok
FITB,20,10937931.7,109379.32,44.19,4833471.87,ok
FLCO,20,193850.7,1938.51,21.225,41144.81,ok
FOLD,20,4012007.25,40120.07,14.43,578932.66,ok
GASS,20,275731.7,2757.32,9.09,25064.01,ok
GEL,20,247210.65,2472.11,17.62,43558.52,ok
GIS,20,8912875.45,89128.75,37.01,3298655.05,ok
GOOGL,20,29466011.85,294660.12,301.0,88692695.67,ok
GOVI,20,421621.85,4216.22,27.0954,114240.13,ok
GQI,20,15937.6,159.38,54.94,8756.12,ok
IBTL,20,163958.85,1639.59,20.3042,33290.53,ok
IMBBY,20,86529.3,865.29,40.72,35234.73,ok
ITT,20,931036.95,9310.37,182.69,1700911.43,ok
IWY,20,561019.15,5610.19,249.67,1400696.5,ok
JPM,20,11313388.0,113133.88,286.56,32419644.38,ok
KURA,20,1561951.4,15619.51,8.26,129017.19,ok
LGLV,20,31826.1,318.26,177.04,56344.93,ok
MDGL,20,327332.4,3273.32,441.16,1444059.63,ok
MDLZ,20,10515200.1,105152.0,56.21,5910593.88,ok
MERC,20,381692.3,3816.92,1.27,4847.49,ok
META,20,12449172.5,124491.73,593.66,73905754.12,ok
MQ,20,4476595.9,44765.96,4.08,182645.11,ok
MSFT,20,33976493.7,339764.94,381.87,129746034.83,ok
MSTR,20,20840522.15,208405.22,135.66,28272253.11,ok
NEXT,20,5247406.2,52474.06,7.33,384634.87,ok
NVDA,20,198907674.2,1989076.74,172.7,343513547.27,ok
NXRT,20,277582.25,2775.82,24.63,68368.51,ok
NXT,20,1856097.5,18560.98,114.39,2123189.92,ok
PAY,20,881524.2,8815.24,24.32,214386.68,ok
PETS,20,95669.85,956.7,2.42,2315.21,ok
PFIG,20,34732.8,347.33,23.96,8321.98,ok
PH,20,805188.1,8051.88,894.41,7201682.67,ok
PK,20,3755614.0,37556.14,10.27,385701.57,ok
PKB,20,27713.75,277.14,93.47,25904.04,ok
PLTR,20,49650202.7,496502.03,150.68,74812921.79,ok
RAVI,20,72013.7,720.14,75.315,54237.12,ok
RDCM,20,45183.0,451.83,11.12,5024.35,ok
RNEM,20,2743.5,27.44,52.7515,1447.24,ok
RSPR,20,7762.25,77.62,33.0,2561.54,ok
SCHY,20,803216.6,8032.17,30.84,247712.0,ok
SCZ,20,2356560.8,23565.61,75.92,1789100.92,ok
SGAPY,20,48522.55,485.23,40.18,19496.36,ok
SIM,20,90.0,0.9,30.8,27.72,ok
SPSC,20,821401.1,8214.01,57.95,476001.94,ok
SPSM,20,2979504.75,29795.05,46.99,1400069.33,ok
SPYC,20,6345.6,63.46,39.7,2519.2,ok
STVN,20,508709.4,5087.09,14.6,74271.57,ok
SWRAY,20,25786.85,257.87,11.17,2880.39,ok
TAGS,20,38503.4,385.03,25.05,9645.1,ok
TIPT,20,275517.25,2755.17,15.73,43338.86,ok
TRI,20,3612588.65,36125.89,93.44,3375602.92,ok
TRVI,20,1312914.65,13129.15,10.61,139300.24,ok
TSLA,20,60071956.45,600719.56,367.96,221040765.82,ok
VST,20,4795551.95,47955.52,146.02,7002465.16,ok
XC,20,19737.0,197.37,30.24,5968.47,ok
XHLF,20,398414.1,3984.14,50.28,200322.6,ok
XRAY,20,5716728.95,57167.29,10.95,625981.81,ok
XSVM,20,39563.75,395.64,57.81,22871.8,ok
