symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41493414.05,414934.14,247.99,102899519.78,ok
ALLE,20,852547.6,8525.48,142.49,1214795.12,ok
AMZN,20,46347570.15,463475.7,205.37,95184002.55,ok
ASMIY,20,7178.75,71.79,734.565,52732.59,ok
ASTH,20,571717.8,5717.18,24.23,138527.22,ok
AVGO,20,29796175.65,297961.76,310.51,92520107.92,ok
AVNT,20,767562.45,7675.62,31.91,244929.18,ok
AVT,20,840285.35,8402.85,58.45,491146.79,ok
BGT,20,136058.3,1360.58,10.76,14639.87,ok
BOC,20,112085.3,1120.85,11.8,13226.07,ok
CCNE,20,147442.3,1474.42,27.45,40472.91,ok
CGUS,20,1254996.95,12549.97,38.48,482922.82,ok
CL,20,6676550.05,66765.5,85.12,5683079.59,ok
COST,20,1894042.75,18940.43,972.33,18416346.19,ok
DNKEY,20,57106.1,571.06,24.01,13711.17,ok
EDU,20,760644.4,7606.44,54.98,418202.29,ok
EE,20,589247.9,5892.48,32.99,194392.89,ok
EMLP,20,324038.75,3240.39,43.16,139855.12,ok
ENVA,20,236506.85,2365.07,134.99,319260.61,ok
EVT,20,104967.75,1049.68,24.22,25423.19,ok
EWY,20,32917711.3,329177.11,125.78,41403896.87,ok
FBRT,20,1318565.05,13185.65,8.83,116429.29,ok
FBTC,20,5628230.65,56282.31,61.12,3439974.51,ok
FIBK,20,1163746.8,11637.47,32.48,377984.96,ok
FSRCY,20,0.05,0.0,184.15,0.09,ok
FSUN,20,146751.35,1467.51,35.51,52111.4,ok
GOOGL,20,29472503.95,294725.04,301.0,88712236.89,ok
GOVT,20,18889278.15,188892.78,22.785,4303922.0,ok
GWRE,20,1949087.8,19490.88,155.61,3032975.54,ok
HE,20,2638789.2,26387.89,14.06,371013.77,ok
HTHT,20,1740648.15,17406.48,50.13,872586.94,ok
HYHG,20,9616.6,96.17,63.87,6142.12,ok
IBMO,20,65500.0,655.0,25.63,16787.65,ok
IDEV,20,2517419.25,25174.19,80.57,2028284.68,ok
IDV,20,1801252.15,18012.52,40.79,734730.77,ok
IGSB,20,4252770.9,42527.71,52.33,2225475.09,ok
IJK,20,258041.5,2580.41,98.72,254738.57,ok
JETS,20,6383884.15,63838.84,24.09,1537877.7,ok
JPM,20,11313388.0,113133.88,286.56,32419644.38,ok
KNF,20,695520.1,6955.2,80.9,562675.77,ok
MEAR,20,181382.6,1813.83,50.31,91253.59,ok
META,20,12518879.9,125188.8,593.66,74319579.05,ok
MKTX,20,507370.5,5073.7,174.01,882875.38,ok
MSFT,20,34172682.7,341726.83,381.85,130488390.98,ok
MTZ,20,1100409.25,11004.09,300.58,3307609.98,ok
NAT,20,6676934.5,66769.35,5.25,350539.06,ok
NVDA,20,200483066.4,2004830.66,172.93,346695352.04,ok
OBE,20,845207.8,8452.08,8.73,73786.64,ok
OSEA,20,69334.9,693.35,28.4,19691.11,ok
OZK,20,1481624.65,14816.25,43.84,649544.25,ok
PAWZ,20,2520.6,25.21,50.25,1266.6,ok
PGHY,20,65631.25,656.31,19.49,12791.53,ok
PLTR,20,49706904.45,497069.04,150.68,74898359.98,ok
PMT,20,1031169.75,10311.7,11.22,115697.25,ok
PR,20,13772961.5,137729.61,20.07,2764233.33,ok
PSCC,20,11009.15,110.09,30.895,3401.28,ok
PYLD,20,3750705.25,37507.05,26.12,979684.24,ok
RBLD,20,805.6,8.06,79.6788,641.89,ok
RIGS,20,18179.35,181.79,22.7294,4132.06,ok
RRR,20,918524.0,9185.24,57.52,528335.01,ok
SBUX,20,8312682.05,83126.82,92.55,7693387.49,ok
SMTI,20,62607.15,626.07,18.38,11507.19,ok
SNOW,20,6497631.2,64976.31,168.02,10917320.22,ok
SPSK,20,279213.25,2792.13,17.85,49839.57,ok
SR,20,341674.85,3416.75,88.44,302177.25,ok
TATT,20,196360.3,1963.6,43.01,84454.56,ok
TSLA,20,60269380.15,602693.8,367.96,221767206.05,ok
TYD,20,38629.55,386.3,24.36,9410.16,ok
TYL,20,614910.7,6149.11,350.2,2153417.35,ok
UEVM,20,4939.85,49.4,55.7193,2752.45,ok
USDU,20,905807.75,9058.08,26.23,237593.37,ok
USFR,20,5504807.15,55048.07,50.45,2777175.25,ok
UWM,20,891754.55,8917.55,44.83,399773.58,ok
VTOL,20,220643.5,2206.43,44.18,97480.3,ok
WTTR,20,1758034.05,17580.34,14.41,253332.7,ok
XJH,20,22391.45,223.91,44.28,9914.93,ok
XLE,20,67362875.0,673628.75,59.31,39952922.09,ok
