symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41493414.05,414934.14,247.99,102899519.78,ok
AMAX,20,48905.25,489.05,7.68,3755.92,ok
AMLX,20,979410.2,9794.1,13.81,135256.55,ok
AMTB,20,291873.15,2918.73,20.71,60446.93,ok
AMZN,20,46347570.15,463475.7,205.37,95184002.55,ok
APTV,20,2291672.75,22916.73,68.1,1560629.11,ok
AVGO,20,29796175.65,297961.76,310.51,92520107.92,ok
AXON,20,1125097.85,11250.98,496.27,5583522.98,ok
BJUL,20,7040.2,70.4,49.4787,3483.4,ok
BNDC,20,39300.85,393.01,22.095,8683.52,ok
BUYZ,20,490.0,4.9,31.989,156.75,ok
BZH,20,403191.6,4031.92,18.65,75195.23,ok
CERT,20,3855578.0,38555.78,6.15,237118.05,ok
COST,20,1894042.75,18940.43,972.33,18416346.19,ok
CRTO,20,577231.9,5772.32,17.0,98129.42,ok
CUT,20,7198.45,71.98,27.19,1957.26,ok
DAPR,20,6860.45,68.6,39.55,2713.31,ok
EJPRY,20,105354.35,1053.54,11.18,11778.62,ok
ELF,20,2048676.2,20486.76,72.5,1485290.24,ok
ELV,20,2486265.1,24862.65,291.48,7246965.79,ok
ENTG,20,2431242.15,24312.42,114.66,2787662.34,ok
EPP,20,696443.05,6964.43,52.04,362428.97,ok
EVCM,20,162922.15,1629.22,10.35,16862.44,ok
FAAR,20,30367.05,303.67,34.03,10333.91,ok
FAN,20,63481.55,634.82,23.24,14753.11,ok
FENI,20,1753867.55,17538.68,35.91,629813.83,ok
FIXD,20,309197.25,3091.97,43.5597,134685.39,ok
FLSP,20,216679.25,2166.79,26.87,58221.72,ok
FNDB,20,141682.9,1416.83,26.82,37999.35,ok
FVD,20,923747.4,9237.47,46.46,429173.03,ok
GEL,20,247210.65,2472.11,17.62,43558.52,ok
GOOGL,20,29472503.95,294725.04,301.0,88712236.89,ok
GPIQ,20,959721.8,9597.22,49.74,477365.64,ok
HCAT,20,1046567.15,10465.67,1.23,12872.78,ok
HTD,20,59759.3,597.59,24.21,14467.73,ok
IDX,20,41940.65,419.41,13.14,5511.0,ok
IEMG,20,21668285.2,216682.85,68.37,14814607.19,ok
IP,20,6138705.3,61387.05,33.76,2072426.81,ok
IPX,20,338104.75,3381.05,23.29,78744.6,ok
JPM,20,11313388.0,113133.88,286.56,32419644.38,ok
KRO,20,361319.65,3613.2,5.4,19511.26,ok
KROS,20,574778.95,5747.79,10.96,62995.77,ok
LSPD,20,777565.15,7775.65,8.73,67881.43,ok
LXP,20,620852.45,6208.52,46.56,289068.91,ok
MDIV,20,88123.3,881.23,16.1456,14228.03,ok
META,20,12518879.9,125188.8,593.66,74319579.05,ok
MNRO,20,731653.3,7316.53,15.01,109821.16,ok
MSA,20,178880.3,1788.8,170.14,304346.94,ok
MSFT,20,34172682.7,341726.83,381.85,130488390.98,ok
MTG,20,1976004.15,19760.04,25.66,507042.66,ok
MYY,20,11225.8,112.26,17.6748,1984.14,ok
NBHC,20,653975.7,6539.76,37.48,245110.09,ok
NEXT,20,5343026.0,53430.26,7.33,391643.8,ok
NUMG,20,39578.8,395.79,41.51,16429.16,ok
NVDA,20,200483066.4,2004830.66,172.93,346695352.04,ok
OGN,20,3404802.85,34048.03,6.03,205309.62,ok
OLLI,20,1416135.15,14161.35,98.96,1401407.33,ok
PAYS,20,341670.85,3416.71,3.23,11035.97,ok
PG,20,9462406.25,94624.06,144.28,13652359.62,ok
PKE,20,323732.6,3237.33,26.38,85400.66,ok
PLTR,20,49706904.45,497069.04,150.68,74898359.98,ok
PRM,20,1227788.65,12277.89,20.69,254029.48,ok
QYLG,20,42729.8,427.3,26.0897,11148.08,ok
SIMO,20,474426.2,4744.26,123.76,587149.88,ok
SIZE,20,5373.8,53.74,157.25,8450.3,ok
SPPP,20,931103.5,9311.03,14.68,136686.0,ok
SSRM,20,4290749.25,42907.49,22.99,986443.24,ok
STRV,20,69491.45,694.91,41.8974,29115.11,ok
TCOM,20,3327941.3,33279.41,51.06,1699246.87,ok
TSLA,20,60269380.15,602693.8,367.96,221767206.05,ok
VMD,20,391320.0,3913.2,8.71,34083.97,ok
VNM,20,1119655.75,11196.56,16.43,183959.44,ok
VTES,20,181263.5,1812.63,101.24,183511.16,ok
VTWO,20,5433008.2,54330.08,98.09,5329237.54,ok
