symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,38924178.4,389241.78,249.94,97287092.44,ok
AIO,20,77752.75,777.53,21.71,16880.12,ok
AMBP,20,2160781.8,21607.82,4.01,86647.36,ok
AMZN,20,46411629.75,464116.3,209.87,97404085.09,ok
ARKW,20,121487.25,1214.87,128.64,156281.2,ok
AVGO,20,28298329.45,282983.29,315.93,89402910.16,ok
AXGN,20,1012196.4,10121.96,30.94,313173.57,ok
BHF,20,974595.65,9745.96,59.4,578909.83,ok
BIBL,20,45492.35,454.92,47.67,21686.2,ok
BIP,20,1001005.7,10010.06,35.76,357959.62,ok
BOOM,20,503577.4,5035.77,4.9,24675.29,ok
BUSA,20,60987.65,609.88,36.801,22444.06,ok
BXMT,20,1106487.9,11064.88,18.88,208904.91,ok
CDC,20,12282.7,122.83,70.5964,8671.14,ok
CLNE,20,1162570.85,11625.71,2.15,24995.27,ok
COIN,20,13087646.75,130876.47,202.29,26474999.73,ok
COST,20,1866314.5,18663.15,979.92,18288388.73,ok
COWG,20,590363.65,5903.64,34.0205,200844.67,ok
DAWN,20,8049474.9,80494.75,21.31,1715343.06,ok
DIG,20,92261.3,922.61,60.33,55661.24,ok
DIHP,20,606461.1,6064.61,32.26,195644.34,ok
DSP,20,243836.85,2438.37,11.78,28723.98,ok
EDAP,20,47548.9,475.49,3.92,1863.92,ok
ETJ,20,158451.8,1584.52,8.31,13167.35,ok
EXPE,20,3087103.0,30871.03,240.04,7410281.83,ok
FBK,20,285635.3,2856.35,51.04,145788.26,ok
FCPT,20,698482.7,6984.83,25.44,177694.0,ok
FDD,20,290541.45,2905.41,17.61,51164.35,ok
FE,20,4174820.55,41748.21,50.66,2114964.08,ok
FFBC,20,785313.6,7853.14,26.5,208108.1,ok
FJUN,20,11747.7,117.48,56.86,6679.74,ok
FSTR,20,24821.3,248.21,28.21,7002.09,ok
GNMA,20,30433.6,304.34,44.4242,13519.88,ok
GOOGL,20,29944925.8,299449.26,307.69,92137542.93,ok
GPK,20,6904279.55,69042.8,9.6,662810.86,ok
GURU,20,1490.0,14.9,59.24,882.68,ok
HGER,20,802975.8,8029.76,31.15,250126.96,ok
IDT,20,162336.25,1623.36,47.25,76703.88,ok
IEMG,20,21098727.85,210987.28,70.61,14897811.86,ok
IMFL,20,95004.65,950.05,31.94,30344.49,ok
IVOO,20,85757.1,857.57,114.09,97840.27,ok
JBND,20,840960.95,8409.61,53.86,452941.57,ok
JMBS,20,829023.65,8290.24,45.5,377205.76,ok
JPM,20,10416996.75,104169.97,287.74,29973865.43,ok
KBCSY,20,25461.0,254.61,61.35,15620.32,ok
KEY,20,18752929.15,187529.29,19.07,3576183.53,ok
KLIC,20,608640.0,6086.4,65.73,400059.09,ok
KWEB,20,25295406.2,252954.06,29.45,7449497.32,ok
LOMA,20,417447.6,4174.48,10.24,42746.63,ok
MARW,20,34621.05,346.21,34.3,11875.02,ok
MATX,20,332281.7,3322.82,156.09,518658.49,ok
MAXI,20,39048.1,390.48,10.29,4018.05,ok
MCHI,20,4927285.7,49272.86,57.23,2819885.58,ok
META,20,12001508.75,120015.09,615.68,73890888.19,ok
MMIN,20,70288.5,702.88,23.99,16862.21,ok
MSFT,20,33479326.9,334793.27,391.79,131168657.72,ok
MTW,20,256529.4,2565.29,11.82,30321.77,ok
NSP,20,1271082.1,12710.82,23.08,293365.75,ok
NVDA,20,195002070.85,1950020.71,180.4,351783723.91,ok
NWG,20,4175982.6,41759.83,15.29,638507.74,ok
PENN,20,5072527.15,50725.27,13.84,702037.77,ok
PLTR,20,50364566.3,503645.66,152.77,76941950.09,ok
QDF,20,35525.95,355.26,79.6468,28295.28,ok
QQQ,20,69839775.8,698397.76,594.9,415476843.28,ok
RBA,20,1361707.0,13617.07,97.14,1322762.17,ok
SEB,20,23743.0,237.43,4964.1201,1178631.04,ok
SNSR,20,21957.95,219.58,37.95,8333.04,ok
SPXN,20,2495.0,24.95,72.449,1807.6,ok
SRET,20,52734.25,527.34,21.7673,11478.82,ok
SRG,20,206858.45,2068.58,2.77,5729.98,ok
SSUS,20,38523.05,385.23,47.5771,18328.15,ok
TCHP,20,263582.4,2635.82,45.14,118981.09,ok
TOTR,20,4895.05,48.95,40.4523,1980.16,ok
TSLA,20,58368602.4,583686.02,392.78,229260195.79,ok
TTE,20,2200038.6,22000.39,86.9,1911833.58,ok
ULBI,20,71284.65,712.85,6.72,4790.33,ok
VC,20,670729.95,6707.3,84.45,566431.42,ok
VLVLY,20,81682.4,816.82,32.7,26710.15,ok
WIA,20,79589.5,795.89,8.14,6478.59,ok
XMTR,20,1509811.45,15098.11,39.835,601433.38,ok
