symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41501284.35,415012.84,251.49,104371582.29,ok
AGIO,20,781960.35,7819.6,28.11,219809.06,ok
AMKBY,20,134701.3,1347.01,13.37,18009.56,ok
AMX,20,2627133.2,26271.33,23.69,622367.87,ok
AMZN,20,45864799.85,458648.0,210.14,96380290.12,ok
ARKB,20,6279921.0,62799.21,23.45,1472641.52,ok
ARWR,20,2578765.75,25787.66,56.67,1461386.5,ok
AVGO,20,30657982.5,306579.83,322.51,98875062.35,ok
BEKE,20,4783656.4,47836.56,15.42,737639.82,ok
BUFD,20,254105.7,2541.06,28.06,71302.06,ok
BUSE,20,653681.95,6536.82,25.06,163812.69,ok
CHSCP,20,20151.05,201.51,27.8,5601.99,ok
CIHKY,20,59487.65,594.88,30.65,18232.96,ok
CJEWY,20,0.15,0.0,13.88,0.02,ok
CLS,20,1862674.65,18626.75,286.98,5345503.92,ok
CNI,20,1920641.35,19206.41,100.69,1933893.82,ok
COIN,20,13122121.7,131221.22,200.62,26325599.91,ok
COST,20,1908315.3,19083.15,965.73,18429172.97,ok
CRON,20,1189722.05,11897.22,2.52,29981.0,ok
CZA,20,2304.6,23.05,108.95,2510.86,ok
DBJP,20,20749.8,207.5,99.68,20683.4,ok
DEED,20,55472.75,554.73,21.4094,11876.38,ok
DEHP,20,31143.2,311.43,34.29,10679.0,ok
DFCF,20,1085893.1,10858.93,42.28,459115.59,ok
DHIL,20,31841.35,318.41,172.63,54967.72,ok
EMB,20,14560956.65,145609.57,94.06,13696035.47,ok
EMBJ,20,1704315.0,17043.15,58.71,1000603.32,ok
EMR,20,2922527.0,29225.27,129.83,3794316.86,ok
EPAM,20,1391854.8,13918.55,135.72,1889025.35,ok
EQX,20,9894435.6,98944.36,12.64,1250656.69,ok
ESQ,20,91134.7,911.35,107.91,98343.46,ok
FC,20,201344.0,2013.44,13.59,27362.65,ok
FIX,20,444591.25,4445.91,1408.25,6260956.28,ok
FNF,20,2496663.5,24966.64,44.47,1110266.29,ok
GLRE,20,185573.8,1855.74,16.53,30675.35,ok
GOOGL,20,29270141.7,292701.42,302.06,88413389.3,ok
GRID,20,469206.25,4692.06,164.95,773955.7,ok
HQY,20,950608.5,9506.09,81.64,776076.77,ok
HSTM,20,384375.55,3843.76,21.13,81218.55,ok
HTLD,20,471401.8,4714.02,9.95,46904.48,ok
HUBG,20,907074.3,9070.74,35.31,320287.95,ok
HYBB,20,116453.05,1164.53,46.39,54022.57,ok
IBDS,20,581085.35,5810.85,24.195,140593.6,ok
IBEX,20,127365.25,1273.65,28.74,36604.77,ok
IDLV,20,100083.0,1000.83,34.14,34168.34,ok
IGTR,20,4779.1,47.79,28.2705,1351.08,ok
INNV,20,381969.2,3819.69,7.96,30404.75,ok
INVA,20,815406.05,8154.06,21.91,178655.46,ok
IQDY,20,8492.15,84.92,37.4875,3183.49,ok
IX,20,598081.85,5980.82,29.81,178288.2,ok
JPM,20,11031827.5,110318.28,289.91,31982371.51,ok
KBWB,20,2630693.9,26306.94,77.68,2043523.03,ok
KEX,20,745682.9,7456.83,130.76,975054.92,ok
LABD,20,3899737.8,38997.38,19.89,775657.82,ok
LFVN,20,123530.8,1235.31,4.54,5608.3,ok
MAGS,20,4323722.75,43237.23,59.28,2563102.79,ok
META,20,12751514.0,127515.14,604.06,77026795.16,ok
MKTAY,20,19798.9,197.99,33.3,6593.03,ok
MMM,20,4538665.55,45386.66,146.56,6651868.12,ok
MNDY,20,1768074.45,17680.74,75.47,1334365.81,ok
MPC,20,3180376.05,31803.76,232.53,7395328.39,ok
MRAM,20,475142.7,4751.43,9.12,43333.01,ok
MSFT,20,33428644.4,334286.44,383.0,128031708.05,ok
NIKL,20,273676.2,2736.76,15.36,42036.66,ok
NVDA,20,200707478.9,2007074.79,175.64,352522614.71,ok
PLTR,20,49878852.45,498788.52,160.84,80225144.45,ok
REI,20,6098216.85,60982.17,1.44,87814.33,ok
RSST,20,63122.95,631.23,28.28,17851.17,ok
SILC,20,44846.1,448.46,18.8,8431.07,ok
SUHJY,20,77648.65,776.49,16.55,12850.85,ok
SVNDY,20,289437.8,2894.38,13.05,37771.63,ok
TBF,20,150802.35,1508.02,24.42,36825.93,ok
TSLA,20,60414554.1,604145.54,380.85,230088832.98,ok
TZOO,20,202080.65,2020.81,6.24,12609.83,ok
UAA,20,10641544.3,106415.44,6.15,654454.98,ok
UHT,20,70133.15,701.33,40.66,28516.14,ok
UMMA,20,63640.7,636.41,30.925,19680.89,ok
VIV,20,1082979.75,10829.8,15.48,167645.26,ok
WLDN,20,381715.25,3817.15,80.44,307051.76,ok
WY,20,6318570.0,63185.7,23.16,1463380.8,ok
XFLT,20,208157.35,2081.57,15.7,32680.7,ok
