symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41261027.4,412610.27,252.62,104233605.4,ok
ADUS,20,233370.55,2333.71,99.32,231783.63,ok
AFGD,20,5499.1,54.99,20.18,1109.72,ok
AMZN,20,45280937.55,452809.38,211.71,95864275.93,ok
ANEW,20,546.45,5.46,45.9027,250.84,ok
ASTE,20,286446.4,2864.46,54.87,157173.14,ok
ATMP,20,17464.35,174.64,34.89,6093.31,ok
AVA,20,743790.1,7437.9,39.36,292755.79,ok
AVGO,20,30460926.7,304609.27,318.81,97112479.67,ok
BCAL,20,220904.3,2209.04,17.55,38768.7,ok
BFAM,20,893814.8,8938.15,79.74,712727.9,ok
BLFS,20,582171.15,5821.71,19.86,115619.19,ok
BOLT,20,21279.45,212.79,4.5,957.58,ok
BOXX,20,2128518.8,21285.19,116.06,2470358.87,ok
CLBK,20,304859.95,3048.6,17.38,52984.66,ok
CNQ,20,12814797.45,128147.97,49.18,6302317.43,ok
COIN,20,12973038.25,129730.38,181.1,23494173.06,ok
COST,20,1858238.0,18582.38,974.86,18115218.69,ok
CZA,20,2298.55,22.99,110.16,2532.08,ok
DFUS,20,1696638.6,16966.39,71.66,1215811.28,ok
DLR,20,1999213.55,19992.14,176.43,3527212.32,ok
EEM,20,53282494.65,532824.95,57.42,30594807.45,ok
EMA,20,373339.45,3733.39,51.08,190701.8,ok
FCTR,20,2657.1,26.57,35.7215,949.16,ok
FELV,20,236144.85,2361.45,35.12,82934.07,ok
FENC,20,213242.3,2132.42,6.17,13157.05,ok
FIW,20,54861.05,548.61,104.212,57171.8,ok
FLMX,20,41254.2,412.54,36.712,15145.24,ok
FMB,20,125178.95,1251.79,50.73,63503.28,ok
FNCL,20,165162.1,1651.62,70.11,115795.15,ok
GIGB,20,64587.5,645.88,45.7095,29522.62,ok
GOOGL,20,29898535.4,298985.35,290.93,86983806.85,ok
HLNE,20,871380.3,8713.8,100.86,878874.18,ok
HQL,20,112293.55,1122.94,16.68,18730.56,ok
HYEM,20,329828.6,3298.29,19.865,65520.45,ok
IAUM,20,6047095.45,60470.95,45.15,2730263.69,ok
ISPY,20,118810.0,1188.1,43.89,52145.71,ok
JPM,20,11326016.4,113260.16,295.42,33459319.17,ok
KLIP,20,46283.45,462.83,26.56,12292.88,ok
KREF,20,2057902.3,20579.02,6.42,132117.33,ok
LU,20,2033509.3,20335.09,1.93,39246.73,ok
MEOH,20,1938147.35,19381.47,58.51,1134009.98,ok
META,20,12842213.95,128422.14,594.89,76397048.45,ok
MPX,20,40119.0,401.19,7.39,2964.79,ok
MSFT,20,33277806.3,332778.06,371.04,123473975.34,ok
MUX,20,1164345.55,11643.46,19.44,226348.78,ok
NI,20,3577108.3,35771.08,45.68,1634023.08,ok
NKTX,20,673448.0,6734.48,2.13,14344.44,ok
NRC,20,122576.2,1225.76,17.18,21058.59,ok
NVDA,20,195243358.0,1952433.58,178.68,348860817.77,ok
NXE,20,9287750.1,92877.5,11.72,1088524.34,ok
ONOF,20,15859.45,158.59,36.1919,5739.84,ok
PBH,20,456457.1,4564.57,61.13,279032.23,ok
PLTR,20,49654122.85,496541.23,154.96,76944032.1,ok
POOL,20,752786.9,7527.87,202.17,1521909.26,ok
QLD,20,5785348.1,57853.48,63.43,3669646.32,ok
RFDI,20,3318.0,33.18,81.9835,2720.21,ok
RNGR,20,197496.15,1974.96,17.39,34344.58,ok
SCZ,20,2384998.2,23849.98,78.43,1870554.1,ok
SGPYY,20,78756.8,787.57,43.17,33999.31,ok
SIMS,20,435.0,4.35,43.008,187.08,ok
SIXJ,20,9986.05,99.86,33.8075,3376.03,ok
SMIN,20,229931.75,2299.32,60.83,139867.49,ok
SMMD,20,476356.15,4763.56,77.36,368509.12,ok
SNPS,20,2397696.4,23976.96,410.13,9833672.36,ok
SPB,20,383110.35,3831.1,75.34,288635.32,ok
SPDV,20,9473.15,94.73,37.2319,3527.03,ok
SSB,20,934715.75,9347.16,91.71,857227.81,ok
STRV,20,77086.7,770.87,42.44,32715.59,ok
SXT,20,304241.5,3042.41,86.79,264051.2,ok
TLK,20,951953.35,9519.53,19.11,181918.29,ok
TOKE,20,13892.95,138.93,5.32,739.1,ok
TSLA,20,60585841.6,605858.42,385.95,233831063.05,ok
TWIN,20,44260.15,442.6,15.65,6926.71,ok
USA,20,1193164.55,11931.65,5.62,67055.85,ok
UTL,20,186045.1,1860.45,52.41,97506.24,ok
VIXY,20,6869078.0,68690.78,33.21,2281220.74,ok
VXF,20,561002.7,5610.03,208.39,1169073.52,ok
WSM,20,1461924.5,14619.25,181.93,2659679.14,ok
