symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,41417914.4,414179.14,250.12,103594485.47,ok
ACR,20,17644.4,176.44,19.01,3354.2,ok
AM,20,2954868.35,29548.68,23.14,683756.52,ok
AMN,20,1664787.75,16647.88,18.9,314644.88,ok
AMPY,20,1067871.45,10678.71,6.54,69838.79,ok
AMZN,20,49527286.85,495272.87,207.67,102853315.69,ok
ATO,20,1181337.15,11813.37,188.58,2227765.62,ok
AVGO,20,26451892.5,264518.92,322.16,85217417.85,ok
BBCA,20,331107.05,3311.07,94.69,313525.27,ok
BMO,20,857510.0,8575.1,135.55,1162354.83,ok
BUFG,20,39974.7,399.75,27.0812,10825.63,ok
BYLD,20,90298.55,902.99,22.46,20281.05,ok
CANG,20,794970.8,7949.71,0.6514,5178.44,ok
CASS,20,67817.05,678.17,44.39,30103.99,ok
CENX,20,2769591.75,27695.92,54.73,1515797.55,ok
CGNT,20,500447.3,5004.47,8.4,42037.57,ok
CLFD,20,78678.15,786.78,28.45,22383.93,ok
COIN,20,14359381.0,143593.81,195.53,28076897.49,ok
COST,20,1988183.6,19881.84,1008.43,20049439.73,ok
CRBN,20,7590.3,75.9,225.132,17088.19,ok
DHLGY,20,113368.1,1133.68,51.3,58157.83,ok
DKNG,20,17612826.15,176128.26,25.87,4556438.27,ok
DNBBY,20,75929.65,759.3,30.11,22862.42,ok
DRS,20,1412880.15,14128.8,45.3,640034.7,ok
DVYE,20,307836.8,3078.37,33.34,102632.79,ok
DWSH,20,58437.5,584.38,6.545,3824.73,ok
EAGG,20,357009.4,3570.09,47.53,169686.56,ok
EDC,20,272479.2,2724.79,57.8,157492.98,ok
ENGN,20,528153.3,5281.53,7.16,37815.78,ok
ESGD,20,467005.4,4670.05,95.05,443888.65,ok
ESRT,20,1985612.95,19856.13,5.18,102854.75,ok
EWN,20,116270.85,1162.71,58.63,68169.6,ok
FAB,20,4191.15,41.91,93.2,3906.15,ok
FDLO,20,61126.9,611.27,65.94,40307.08,ok
FFLC,20,82167.25,821.67,51.88,42628.37,ok
FLIN,20,1487978.0,14879.78,34.23,509334.86,ok
FLQM,20,128303.6,1283.04,55.05,70631.13,ok
FRD,20,28381.4,283.81,17.01,4827.68,ok
FTXG,20,24301.85,243.02,22.5359,5476.64,ok
GOOGL,20,31990004.6,319900.05,302.28,96699385.51,ok
GSHD,20,641481.35,6414.81,44.17,283342.3,ok
HAIL,20,3034.2,30.34,33.1159,1004.8,ok
HUBG,20,886182.8,8861.83,34.3,303960.69,ok
IIGD,20,7591.3,75.91,24.62,1868.98,ok
JKHY,20,1082840.05,10828.4,168.77,1827509.2,ok
JPM,20,10334555.7,103345.56,283.44,29292264.93,ok
JSML,20,20322.2,203.22,70.2047,14267.14,ok
KARS,20,17634.3,176.34,31.66,5583.02,ok
KROS,20,450083.05,4500.83,11.02,49599.15,ok
KT,20,2226053.95,22260.54,21.22,472368.63,ok
LFST,20,3091243.1,30912.43,6.33,195675.69,ok
LH,20,654718.1,6547.18,263.8,1727146.27,ok
META,20,12129226.85,121292.27,613.71,74438280.77,ok
MSFT,20,33936822.45,339368.22,395.55,134237097.06,ok
NBR,20,439852.4,4398.52,76.59,336882.94,ok
NVDA,20,191738591.2,1917385.91,180.25,345608810.64,ok
OKE,20,5181064.3,51810.64,85.36,4422556.52,ok
PAA,20,3601529.35,36015.29,21.32,767846.05,ok
PAGS,20,4782937.9,47829.38,9.37,448161.28,ok
PFFR,20,52852.7,528.53,17.64,9323.22,ok
PFI,20,22097.45,220.97,52.4456,11589.14,ok
PLTR,20,53123708.6,531237.09,150.95,80190236.51,ok
RISN,20,10002.75,100.03,29.15,2915.8,ok
RTX,20,7128470.55,71284.71,204.52,14579148.27,ok
S,20,8386423.9,83864.24,14.52,1217708.79,ok
SCHYY,20,60220.0,602.2,21.45,12917.19,ok
SDHY,20,79470.7,794.71,15.93,12659.68,ok
SIMO,20,508384.15,5083.84,123.26,626634.31,ok
SIO,20,24013.8,240.14,25.78,6190.76,ok
SO,20,7217341.6,72173.42,98.01,7073716.66,ok
SPOK,20,226145.3,2261.45,11.78,26639.92,ok
STRA,20,359688.5,3596.89,80.76,290484.44,ok
SVM,20,5525079.1,55250.79,10.8,596708.55,ok
SYLD,20,52693.55,526.94,73.37,38661.26,ok
TEAM,20,7485669.2,74856.69,75.21,5629971.74,ok
TFC,20,8811854.7,88118.55,43.83,3862236.08,ok
TOTR,20,5202.65,52.03,40.36,2099.79,ok
TPR,20,2179823.15,21798.23,142.1,3097528.83,ok
TSLA,20,58491744.55,584917.45,391.2,228819711.82,ok
TSN,20,3186573.95,31865.74,60.32,1922141.4,ok
VOYA,20,1065553.6,10655.54,66.25,705929.26,ok
