Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,100.0,1.715,0.0,1.71,1714900000.0,,7.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
AVGO,TREND,1,100.0,100.0,0.0,100.0,1.868,0.0,1.87,1867500000.0,,9.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,27.332,0.0,27.33,27331800000.0,,23.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
GOOGL,TREND,1,100.0,100.0,0.0,100.0,17.305,0.0,17.3,17304600000.0,,12.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
JPM,STEADY,1,100.0,100.0,0.0,100.0,1.025,0.0,1.02,1024800000.0,,9.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
NVDA,TREND,1,100.0,100.0,0.0,100.0,11.921,0.0,11.92,11921100000.0,,20.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
PLTR,EXPLOSIVE,1,100.0,100.0,0.0,100.0,21.433,0.0,21.43,21433200000.0,,20.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
V,STEADY,1,100.0,100.0,0.0,100.0,4.73,0.0,4.73,4730500000.0,,6.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
TSLA,TSLA_SOLO,1,100.0,100.0,0.0,100.0,43.064,0.0,43.06,43063500000.0,,23.0,1,0,2.0,0.0,1.0,3.0,0.1,0.88,4
XOM,TREND,1,100.0,100.0,0.0,100.0,4.975,0.0,4.97,4974900000.0,,6.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
META,MEGA_GRINDER,1,0.0,0.0,0.0,0.0,0.0,-1.359,-1.36,0.0,,8.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
