Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
TSLA,TSLA_SOLO,1,100.0,100.0,0.0,100.0,27.742,0,27.74,27742400000.0,,37.0,1,0,2.0,0.0,1.0,3.0,0.1,0.88,4
PLTR,EXPLOSIVE,1,100.0,100.0,0.0,100.0,18.364,0,18.36,18364400000.0,,16.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
GOOGL,TREND,1,100.0,100.0,0.0,100.0,15.546,0,15.55,15546400000.0,,18.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,8
NVDA,TREND,1,100.0,100.0,0.0,100.0,13.302,0,13.3,13301500000.0,,37.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,8
V,STEADY,1,100.0,100.0,0.0,100.0,4.73,0,4.73,4730500000.0,,6.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,2.308,0,2.31,2308300000.0,,28.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
XOM,TREND,1,100.0,100.0,0.0,100.0,1.967,0,1.97,1967100000.0,,11.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,8
AVGO,TREND,1,100.0,100.0,0.0,100.0,1.868,0,1.87,1867500000.0,,9.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,8
AMZN,STEADY,1,100.0,0.0,100.0,100.0,1.715,0,1.71,1714900000.0,,7.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
JPM,STEADY,1,100.0,100.0,0.0,100.0,1.161,0,1.16,1160600000.0,,10.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
META,MEGA_GRINDER,1,0.0,0.0,0.0,100.0,0.727,0,0.73,727200000.0,,7.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
