Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HURST_MIN,HURST_MAX,HOLD_BARS
AMZN,STEADY,1,100.0,0.0,100.0,100.0,1.715,0.0,1.71,1714900000.0,,7.0,0,1,1.5,8.0,0.95,8.0,0.1,0.65,5
AVGO,TREND,1,100.0,100.0,0.0,100.0,1.867,0.0,1.87,1867400000.0,,9.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
COIN,EXPLOSIVE,1,100.0,100.0,0.0,100.0,28.97,0.0,28.97,28970400000.0,,22.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
GOOGL,TREND,1,100.0,100.0,0.0,100.0,17.305,0.0,17.3,17304600000.0,,12.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
JPM,STEADY,1,100.0,100.0,0.0,100.0,1.025,0.0,1.02,1024800000.0,,9.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
NVDA,TREND,1,100.0,100.0,0.0,100.0,16.404,0.0,16.4,16404300000.0,,35.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
PLTR,EXPLOSIVE,1,100.0,100.0,0.0,100.0,18.364,0.0,18.36,18364400000.0,,16.0,1,0,2.0,6.0,0.9,8.0,0.25,0.88,4
V,STEADY,1,100.0,100.0,0.0,100.0,4.73,0.0,4.73,4730500000.0,,6.0,1,0,1.5,8.0,0.95,8.0,0.1,0.65,5
TSLA,TSLA_SOLO,1,100.0,100.0,0.0,100.0,45.027,0.0,45.03,45027100000.0,,31.0,1,0,2.0,0.0,1.0,3.0,0.1,0.88,4
XOM,TREND,1,100.0,100.0,0.0,100.0,4.975,0.0,4.97,4974900000.0,,6.0,1,0,2.0,10.0,1.0,10.0,0.35,0.85,5
META,MEGA_GRINDER,1,0.0,0.0,0.0,0.0,0.0,-1.359,-1.36,0.0,,8.0,1,0,2.0,12.0,1.1,14.0,0.4,0.88,5
