symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
ARKO,20,751401.4,7514.01,5.01,37645.21,ok
ATAI,20,6135813.75,61358.14,3.49,214139.9,ok
AVGO,20,29808148.15,298081.48,310.51,92557283.73,ok
AVXL,20,1115042.65,11150.43,4.06,45270.73,ok
BEEM,20,306017.65,3060.18,1.41,4314.85,ok
CVE,20,18419242.6,184192.43,25.06,4615862.1,ok
ECPG,20,363379.3,3633.79,68.02,247170.59,ok
GPRE,20,1548047.15,15480.47,15.5,239947.31,ok
IPX,20,338055.5,3380.56,23.29,78733.13,ok
KGC,20,11444227.25,114442.27,26.54,3037298.02,ok
KW,20,1840337.8,18403.38,10.85,199676.66,ok
MCHP,20,8876957.9,88769.58,62.97,5589820.5,ok
MSTR,20,20840522.15,208405.22,135.66,28272253.11,ok
MTA,20,561948.55,5619.49,6.76,37987.72,ok
NVDA,20,198907674.2,1989076.74,172.7,343513547.27,ok
PANL,20,769152.75,7691.53,6.79,52225.47,ok
PCRX,20,1006800.3,10068.0,22.11,222603.55,ok
POWW,20,858924.4,8589.24,1.92,16491.35,ok
PRIM,20,959187.2,9591.87,138.82,1331543.74,ok
SMCI,20,35324297.15,353242.97,20.53,7252078.45,ok
SNDX,20,1481599.1,14815.99,24.23,358991.46,ok
TBRG,20,127418.85,1274.19,15.3,19495.08,ok
TSLA,20,60071956.45,600719.56,367.96,221040765.82,ok
WB,20,1010866.8,10108.67,8.66,87541.06,ok
