Timestamp_UTC,Symbol,Action,Reason,Unrealized_PNL_Pct
2026-03-16T13:35:11.105974+00:00,ZEPP,BUY,V9 Discovery Entry,0.0000
2026-03-18T13:35:09.683268+00:00,AVGO,BUY,V9 Discovery Entry,0.0000
2026-03-18T19:55:28.542191+00:00,AVGO,SELL,End of Day,-0.0251
