Generated_At_UTC,Long_Pick,Long_Score,Short_Pick,Short_Score,Raw_Universe_Count,Optimized_Universe_Count
2026-03-15T18:34:41.747912+00:00,ZEPP,-0.324097,GSM,-0.706954,94,43
2026-03-18T10:01:18.055746+00:00,AVGO,-0.269034,BITO,-0.393001,94,10
2026-03-19T10:01:26.724170+00:00,MLYS,-0.471303,BEP,-0.850376,94,12
2026-03-19T10:01:28.685337+00:00,VET,2.177436,MLYS,1.116099,94,12
2026-03-20T10:01:48.701029+00:00,CCG,-0.531977,KINS,-0.691076,94,13
2026-03-20T10:01:51.878553+00:00,HL,0.012484,OPK,-0.045875,94,15
2026-03-21T10:02:51.768859+00:00,KGC,-0.413896,WB,-0.729234,94,24
2026-03-21T10:02:51.899437+00:00,ECPG,1.973865,KGC,0.702088,94,24
2026-03-22T10:02:50.774370+00:00,KRNT,0.181798,LDI,0.040624,94,23

2026-03-23T10:04:08.544281+00:00,DGP,-0.280125,MCFT,-0.731722,94,31
2026-03-23T10:04:08.715868+00:00,MTCH,5.373936,DGP,1.615942,94,31
2026-03-24T10:01:43.825354+00:00,RYAAY,0.376773,CHPT,0.028810,94,18
2026-03-25T04:58:53.123878+00:00,ZLNDY,0.329118,AGQ,0.050508,94,19
2026-03-25T10:01:34.931142+00:00,TOST,0.782740,STX,0.358432,94,10
