symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
BRZU,20,65832.1,658.32,102.1,67214.57,ok
DSP,20,251196.4,2511.96,11.61,29163.9,ok
FDMT,20,688413.4,6884.13,8.98,61819.52,ok
HBIO,20,52953.2,529.53,5.6,2965.38,ok
HL,20,20258462.0,202584.62,17.61,3567515.28,ok
LOUP,20,10289.1,102.89,72.3601,7445.2,ok
META,20,12124412.25,121244.12,606.7,73558810.6,ok
OPK,20,2343436.65,23434.37,1.17,27418.21,ok
PTF,20,30403.2,304.03,92.93,28253.69,ok
RANI,20,970196.7,9701.97,1.15,11157.26,ok
SBS,20,1585382.7,15853.83,29.15,462139.05,ok
SPXU,20,8881790.8,88817.91,55.55,4933834.72,ok
TGTX,20,2131112.05,21311.12,30.36,647005.63,ok
TSLA,20,59207131.6,592071.32,380.3,225164714.25,ok
TSLL,20,61053242.95,610532.43,12.97,7918605.77,ok
