symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
ACB,20,570685.4,5706.85,3.26,18604.34,ok
AVGO,20,29796175.65,297961.76,310.51,92520107.92,ok
BDTX,20,678313.2,6783.13,2.11,14312.41,ok
CNDT,20,1634988.15,16349.88,1.2,19619.86,ok
CRSR,20,1590710.5,15907.1,5.2,82716.94,ok
FEMY,20,517541.25,5175.41,0.5574,2884.77,ok
FIX,20,464472.85,4644.73,1356.75,6301735.39,ok
GPK,20,8182864.1,81828.64,8.91,729093.18,ok
KRNT,20,389523.85,3895.24,14.07,54806.0,ok
LDI,20,3240494.45,32404.94,1.48,47959.32,ok
LEVI,20,2323618.2,23236.18,17.93,416624.75,ok
MAGX,20,42067.7,420.68,43.62,18349.93,ok
MCRB,20,50587.4,505.87,8.5,4299.93,ok
META,20,12449172.5,124491.73,593.66,73905754.12,ok
MSTR,20,20840522.15,208405.22,135.66,28272253.11,ok
NIKL,20,257867.25,2578.67,14.55,37519.69,ok
NVDA,20,198907674.2,1989076.74,172.7,343513547.27,ok
OR,20,1373151.4,13731.51,32.87,451354.85,ok
SMCI,20,35324297.15,353242.97,20.53,7252078.45,ok
TRDA,20,235889.5,2358.89,11.31,26679.1,ok
TRT,20,65228.0,652.28,5.82,3796.27,ok
TSLA,20,60071956.45,600719.56,367.96,221040765.82,ok
UTZ,20,1731891.9,17318.92,7.54,130584.65,ok
