symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
BANF,20,156029.55,1560.3,104.2,162582.79,ok
CCG,20,72476.5,724.76,0.7794,564.88,ok
FINV,20,1228395.55,12283.96,5.59,68667.31,ok
FNV,20,899176.6,8991.77,231.05,2077547.56,ok
KINS,20,110685.8,1106.86,14.57,16126.92,ok
MBWM,20,109510.7,1095.11,50.28,55061.98,ok
META,20,12124412.25,121244.12,606.7,73558810.6,ok
PAM,20,276029.4,2760.29,86.61,239069.07,ok
PFBC,20,114296.8,1142.97,88.82,101518.42,ok
SVM,20,5757639.65,57576.4,9.48,545824.21,ok
SXC,20,2163210.2,21632.1,6.23,134768.0,ok
TSLA,20,59207131.6,592071.32,380.3,225164714.25,ok
VSTM,20,1702594.7,17025.95,5.82,99091.01,ok
