symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AVO,20,897110.0,8971.1,13.94,125057.13,ok
BBCP,20,147600.0,1476.0,6.84,10095.84,ok
BCYC,20,574535.0,5745.35,4.31,24762.46,ok
CALX,20,794575.0,7945.75,50.28,399512.3,ok
CHGG,20,885995.0,8859.95,0.68,6024.77,ok
CMT,20,33465.0,334.65,21.96,7348.91,ok
DIG,20,109975.0,1099.75,69.51,76443.62,ok
DOCU,20,5286115.0,52861.15,45.71,2416283.12,ok
FWRG,20,1862215.0,18622.15,10.31,191994.37,ok
IRS,20,219250.0,2192.5,15.14,33194.45,ok
MEOH,20,2105535.0,21055.35,65.22,1373229.95,ok
META,20,14834390.0,148343.9,525.72,77987350.76,ok
MGPI,20,347800.0,3478.0,18.6,64690.8,ok
MSTR,20,21151370.0,211513.7,126.03,26657071.35,ok
MU,20,43785355.0,437853.55,357.22,156410045.67,ok
NVDA,20,180721205.0,1807212.05,167.52,302744170.34,ok
ONTF,20,614680.0,6146.8,8.1,49789.08,ok
PII,20,1039735.0,10397.35,54.13,562808.57,ok
SAM,20,164435.0,1644.35,229.76,377805.85,ok
SFIX,20,2651530.0,26515.3,3.33,88295.95,ok
TSLA,20,60949305.0,609493.05,361.83,220532862.1,ok
