symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AMZN,20,49527286.85,495272.87,207.67,102853315.69,ok
ATAT,20,941716.45,9417.16,35.24,331860.89,ok
AVGO,20,26451892.5,264518.92,322.16,85217417.85,ok
BLOK,20,388314.1,3883.14,52.35,203282.43,ok
CHGCY,20,300763.9,3007.64,29.16,87702.75,ok
CJEWY,20,0.15,0.0,18.55,0.03,ok
COIN,20,14359381.0,143593.81,195.53,28076897.49,ok
CROX,20,1432432.8,14324.33,77.95,1116581.32,ok
CWCO,20,103654.4,1036.54,34.73,35999.17,ok
DMRC,20,284255.8,2842.56,6.53,18561.9,ok
FICO,20,336728.75,3367.29,1131.22,3809142.87,ok
GAMB,20,537177.15,5371.77,4.21,22615.16,ok
GMVHY,20,80591.95,805.92,7.3,5883.21,ok
GSM,20,1395295.15,13952.95,4.57,63764.99,ok
HOWL,20,518176.65,5181.77,0.7798,4040.74,ok
HWKN,20,123778.9,1237.79,139.88,173141.93,ok
KEN,20,22091.7,220.92,78.37,17313.27,ok
LUMN,20,11713318.3,117133.18,6.64,777764.32,ok
MEI,20,517410.7,5174.11,5.13,26543.17,ok
META,20,12129226.85,121292.27,613.71,74438280.77,ok
MNRO,20,752504.8,7525.05,15.305,115170.86,ok
MOD,20,1086176.3,10861.76,188.54,2047876.72,ok
MSTR,20,20036359.8,200363.6,139.67,27984783.37,ok
NOW,20,19666745.85,196667.46,113.62,22345357.17,ok
NVDA,20,191738591.2,1917385.91,180.25,345608810.64,ok
OMF,20,1476772.75,14767.73,52.06,768807.91,ok
PAYC,20,2316998.3,23169.98,125.71,2912698.54,ok
PLTR,20,53123708.6,531237.09,150.95,80190236.51,ok
QLYS,20,775788.15,7757.88,99.71,773538.36,ok
RIOT,20,18552790.6,185527.91,14.04,2604811.79,ok
SBC,20,24472.5,244.72,3.56,871.22,ok
SGDJ,20,94505.9,945.06,93.02,87909.39,ok
SHC,20,3161263.0,31612.63,13.415,424083.43,ok
SMCI,20,24669350.6,246693.51,30.75,7585825.31,ok
SYF,20,4358961.6,43589.62,63.78,2780145.66,ok
TIPT,20,275585.4,2755.85,16.25,44782.63,ok
TSLA,20,58491744.55,584917.45,391.2,228819711.82,ok
TSM,20,12584632.45,125846.32,338.31,42575069.73,ok
UVXY,20,10158988.85,101589.89,52.29,5312135.36,ok
VBNK,20,50385.25,503.85,13.93,7018.67,ok
VERA,20,1215265.55,12152.66,39.96,485620.1,ok
YINN,20,2387468.4,23874.68,34.41,821527.87,ok
ZEPP,20,66041.25,660.41,20.83,13756.39,ok
