symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AGQ,20,5992151.95,59921.52,102.94,6168321.36,ok
AORT,20,401429.9,4014.3,35.7,143310.48,ok
CNL,20,93680.8,936.81,14.17,13274.57,ok
COKE,20,588239.25,5882.39,185.45,1090889.67,ok
DBRG,20,3054468.95,30544.69,15.4,470388.21,ok
EXOD,20,96450.05,964.5,7.2,6944.4,ok
GPRE,20,1599704.5,15997.05,16.3,260751.82,ok
GTBP,20,750888.65,7508.89,0.4751,3567.47,ok
JOYY,20,412685.35,4126.85,58.19,240141.6,ok
META,20,12796057.1,127960.57,592.92,75870379.57,ok
MSTR,20,21188692.9,211886.93,136.25,28869594.08,ok
PASG,20,43989.95,439.9,6.69,2942.93,ok
PLTR,20,50313698.3,503136.98,154.78,77875541.61,ok
ROAD,20,558242.25,5582.42,110.29,615685.38,ok
SMCI,20,42489358.05,424893.58,22.23,9445384.1,ok
TRVI,20,1384087.3,13840.87,10.64,147266.89,ok
TSLA,20,60570429.15,605704.29,383.03,232002914.03,ok
VSAT,20,1604337.2,16043.37,48.1,771686.17,ok
ZLNDY,20,80286.7,802.87,12.33,9899.35,ok
