symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AKAM,20,4864626.9,48646.27,108.86,5295632.87,ok
BEP,20,668068.2,6680.68,31.67,211577.2,ok
CNDT,20,1588688.2,15886.88,1.16,18428.78,ok
HFWA,20,282951.75,2829.52,24.72,69945.67,ok
MBWM,20,104481.25,1044.81,49.65,51874.94,ok
MLYS,20,1250631.95,12506.32,23.9,298901.03,ok
MSTR,20,20120978.85,201209.79,140.56,28282047.38,ok
PFIX,20,732781.65,7327.82,46.05,337445.94,ok
RRBI,20,56294.25,562.94,86.67,48790.23,ok
VET,20,2351869.6,23518.7,12.61,296570.75,ok
VKTX,20,2475366.45,24753.66,33.55,830485.43,ok
VXX,20,14017651.9,140176.52,34.68,4861321.72,ok
